prompt_id,template_id,variant_id,prompt_family,prompt_source,downstream_task_type,primary_privacy_category,subset,modality,template_stub,prompt_stub,split,release_scope,raw_prompt_released,ocr_source_asset_released,paper_title,paper_url
T01-V1,T01,V1,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V2,T01,V2,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V3,T01,V3,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V4,T01,V4,Direct requests,Dialogue templates,Prompt QA,Person names,Essential-privacy,OCR-mediated text-plus-image,Direct request centered on person names.,Direct request centered on person names. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V5,T01,V5,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V6,T01,V6,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V7,T01,V7,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,Text-only,Direct request centered on person names.,Direct request centered on person names. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T01-V8,T01,V8,Direct requests,Dialogue templates,Prompt QA,Person names,Incidental-privacy,OCR-mediated text-plus-image,Direct request centered on person names.,Direct request centered on person names. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V1,T02,V1,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V2,T02,V2,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V3,T02,V3,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V4,T02,V4,Direct requests,Dialogue templates,Prompt QA,Contact details,Essential-privacy,OCR-mediated text-plus-image,Direct request centered on contact details.,Direct request centered on contact details. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V5,T02,V5,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V6,T02,V6,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V7,T02,V7,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,Text-only,Direct request centered on contact details.,Direct request centered on contact details. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T02-V8,T02,V8,Direct requests,Dialogue templates,Prompt QA,Contact details,Incidental-privacy,OCR-mediated text-plus-image,Direct request centered on contact details.,Direct request centered on contact details. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V1,T05,V1,Direct requests,Dialogue templates,Prompt QA,Financial references,Essential-privacy,Text-only,Direct request centered on financial references.,Direct request centered on financial references. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V2,T05,V2,Direct requests,Dialogue templates,Prompt QA,Financial references,Essential-privacy,Text-only,Direct request centered on financial references.,Direct request centered on financial references. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V3,T05,V3,Direct requests,Dialogue templates,Prompt QA,Financial references,Essential-privacy,Text-only,Direct request centered on financial references.,Direct request centered on financial references. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V4,T05,V4,Direct requests,Dialogue templates,Prompt QA,Financial references,Essential-privacy,OCR-mediated text-plus-image,Direct request centered on financial references.,Direct request centered on financial references. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V5,T05,V5,Direct requests,Dialogue templates,Prompt QA,Financial references,Incidental-privacy,Text-only,Direct request centered on financial references.,Direct request centered on financial references. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V6,T05,V6,Direct requests,Dialogue templates,Prompt QA,Financial references,Incidental-privacy,Text-only,Direct request centered on financial references.,Direct request centered on financial references. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V7,T05,V7,Direct requests,Dialogue templates,Prompt QA,Financial references,Incidental-privacy,Text-only,Direct request centered on financial references.,Direct request centered on financial references. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T05-V8,T05,V8,Direct requests,Dialogue templates,Prompt QA,Financial references,Incidental-privacy,OCR-mediated text-plus-image,Direct request centered on financial references.,Direct request centered on financial references. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V1,T06,V1,Direct requests,Dialogue templates,Prompt QA,Medical content,Essential-privacy,Text-only,Direct request centered on medical content.,Direct request centered on medical content. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V2,T06,V2,Direct requests,Dialogue templates,Prompt QA,Medical content,Essential-privacy,Text-only,Direct request centered on medical content.,Direct request centered on medical content. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V3,T06,V3,Direct requests,Dialogue templates,Prompt QA,Medical content,Essential-privacy,Text-only,Direct request centered on medical content.,Direct request centered on medical content. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V4,T06,V4,Direct requests,Dialogue templates,Prompt QA,Medical content,Essential-privacy,OCR-mediated text-plus-image,Direct request centered on medical content.,Direct request centered on medical content. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V5,T06,V5,Direct requests,Dialogue templates,Prompt QA,Medical content,Incidental-privacy,Text-only,Direct request centered on medical content.,Direct request centered on medical content. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V6,T06,V6,Direct requests,Dialogue templates,Prompt QA,Medical content,Incidental-privacy,Text-only,Direct request centered on medical content.,Direct request centered on medical content. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V7,T06,V7,Direct requests,Dialogue templates,Prompt QA,Medical content,Incidental-privacy,Text-only,Direct request centered on medical content.,Direct request centered on medical content. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T06-V8,T06,V8,Direct requests,Dialogue templates,Prompt QA,Medical content,Incidental-privacy,OCR-mediated text-plus-image,Direct request centered on medical content.,Direct request centered on medical content. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V1,T09,V1,Document-oriented,Document scenarios,Document QA,Person names,Essential-privacy,Text-only,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V2,T09,V2,Document-oriented,Document scenarios,Document QA,Person names,Essential-privacy,Text-only,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V3,T09,V3,Document-oriented,Document scenarios,Document QA,Person names,Essential-privacy,Text-only,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V4,T09,V4,Document-oriented,Document scenarios,Document QA,Person names,Essential-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V5,T09,V5,Document-oriented,Document scenarios,Document QA,Person names,Incidental-privacy,Text-only,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V6,T09,V6,Document-oriented,Document scenarios,Document QA,Person names,Incidental-privacy,Text-only,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V7,T09,V7,Document-oriented,Document scenarios,Document QA,Person names,Incidental-privacy,Text-only,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T09-V8,T09,V8,Document-oriented,Document scenarios,Document QA,Person names,Incidental-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on person names.,Document-oriented instruction centered on person names. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V1,T12,V1,Document-oriented,Document scenarios,Document QA,National/account identifiers,Essential-privacy,Text-only,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V2,T12,V2,Document-oriented,Document scenarios,Document QA,National/account identifiers,Essential-privacy,Text-only,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V3,T12,V3,Document-oriented,Document scenarios,Document QA,National/account identifiers,Essential-privacy,Text-only,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V4,T12,V4,Document-oriented,Document scenarios,Document QA,National/account identifiers,Essential-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V5,T12,V5,Document-oriented,Document scenarios,Document QA,National/account identifiers,Incidental-privacy,Text-only,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V6,T12,V6,Document-oriented,Document scenarios,Document QA,National/account identifiers,Incidental-privacy,Text-only,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V7,T12,V7,Document-oriented,Document scenarios,Document QA,National/account identifiers,Incidental-privacy,Text-only,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T12-V8,T12,V8,Document-oriented,Document scenarios,Document QA,National/account identifiers,Incidental-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on national/account identifiers.,Document-oriented instruction centered on national/account identifiers. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V1,T13,V1,Document-oriented,Document scenarios,Document QA,Financial references,Essential-privacy,Text-only,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V2,T13,V2,Document-oriented,Document scenarios,Document QA,Financial references,Essential-privacy,Text-only,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V3,T13,V3,Document-oriented,Document scenarios,Document QA,Financial references,Essential-privacy,Text-only,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V4,T13,V4,Document-oriented,Document scenarios,Document QA,Financial references,Essential-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V5,T13,V5,Document-oriented,Document scenarios,Document QA,Financial references,Incidental-privacy,Text-only,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V6,T13,V6,Document-oriented,Document scenarios,Document QA,Financial references,Incidental-privacy,Text-only,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V7,T13,V7,Document-oriented,Document scenarios,Document QA,Financial references,Incidental-privacy,Text-only,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T13-V8,T13,V8,Document-oriented,Document scenarios,Document QA,Financial references,Incidental-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on financial references.,Document-oriented instruction centered on financial references. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V1,T16,V1,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Essential-privacy,Text-only,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V2,T16,V2,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Essential-privacy,Text-only,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Reasoning-preserving text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V3,T16,V3,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Essential-privacy,Text-only,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Tool-compatible text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V4,T16,V4,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Essential-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Task-critical OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V5,T16,V5,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Incidental-privacy,Text-only,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Incidental text-only summary variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V6,T16,V6,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Incidental-privacy,Text-only,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Incidental text-only coordination variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V7,T16,V7,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Incidental-privacy,Text-only,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Incidental text-only logging variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T16-V8,T16,V8,Document-oriented,Document scenarios,Document QA,Context-dependent confidential spans,Incidental-privacy,OCR-mediated text-plus-image,Document-oriented instruction centered on context-dependent confidential spans.,Document-oriented instruction centered on context-dependent confidential spans. Incidental OCR-mediated variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
T19-V1,T19,V1,Retrieval-style,Public task sources,Retrieval QA,Postal addresses,Essential-privacy,Text-only,Retrieval-style prompt centered on postal addresses.,Retrieval-style prompt centered on postal addresses. Task-critical text-only variant.,train,prompt-stub-manifest,no,no,BodhiPromptShield: Pre-Inference Prompt Mediation for Suppressing Privacy Propagation in LLM/VLM Agents,https://arxiv.org/abs/2604.05793
