benchmark,split,note_id,note_chars,phi_span_count,phi_types,wrapper_instruction,evaluation_slice
2014 i2b2/UTHealth,synthea-dev,synthea-00001,205,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00002,217,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00003,204,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00005,205,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00006,204,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00007,208,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00008,203,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00009,202,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00010,213,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00011,206,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00012,212,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00013,210,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00014,206,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00015,218,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00016,205,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00019,215,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00020,221,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00021,213,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00022,212,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00023,204,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00024,210,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00025,205,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00026,218,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00029,215,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00030,210,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00031,204,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00032,203,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00033,205,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00034,210,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00035,212,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00036,185,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
2014 i2b2/UTHealth,synthea-dev,synthea-00037,212,2,DATE | PATIENT_ID,Protect PHI spans while preserving clinical meaning; return a sanitized note plus a concise clinical summary.,clinical text matched transfer
